Name,Ticker,Sustainalytics Score,Sector,MSCI ESG 2017,MSCI ESG 2018,MSCI ESG 2019,MSCI ESG 2020,MSCI ESG 2021
Apple Inc.,AAPL,16.9,Tech,A,A,A,BBB,BBB
Microsoft Corporation,MSFT,14.6,Tech,AAA,AAA,AAA,AAA,AAA
Visa Inc. Class A,V,17.4,Tech,A,A,A,A,A
NVIDIA Corporation,NVDA,13.3,Tech,AA,AAA,AAA,AAA,AAA
Mastercard Incorporated Class A,MA,16.3,Tech,BBB,BBB,A,A,A
PayPal Holdings Inc,PYPL,17.7,Tech,BBB,A,A,A,A
Intel Corporation,INTC,16.9,Tech,AA,A,A,A,AA
Adobe Inc.,ADBE,10.9,Tech,BBB,A,AA,AA,AA
Cisco Systems Inc.,CSCO,12.5,Tech,A,A,A,A,AA
salesforce.com inc.,CRM,11.3,Tech,A,AA,AAA,AAA,AA
Broadcom Inc.,AVGO,25.5,Tech,B,B,B,BB,BB
Accenture Plc Class A,ACN,11.3,Tech,AAA,AAA,AAA,AAA,A
Texas Instruments Incorporated,TXN,19.9,Tech,AA,AA,AA,AA,AAA
Qualcomm Inc,QCOM,19.1,Tech,AA,AA,AA,AA,AAA
Oracle Corporation,ORCL,18.2,Tech,A,A,BBB,BBB,BBB
International Business Machines Corporation,IBM,18,Tech,A,AA,AA,AA,AA
Applied Materials Inc.,AMAT,12.3,Tech,A,AA,AA,AA,AA
Intuit Inc.,INTU,16.6,Tech,AA,AA,AA,AA,AA
ServiceNow Inc.,NOW,17.1,Tech,BBB,BBB,BBB,A,A
Micron Technology Inc.,MU,17.9,Tech,B,B,BB,BBB,BBB
Advanced Micro Devices Inc.,AMD,18.4,Tech,BBB,BBB,BBB,BBB,BBB
Fidelity National Information Services Inc.,FIS,18.6,Tech,BB,BB,BB,BB,BBB
Lam Research Corporation,LRCX,14.7,Tech,A,A,A,AA,AA
Automatic Data Processing Inc.,ADP,12.6,Tech,A,BBB,A,A,AAA
Fiserv Inc.,FISV,19.8,Tech,BB,BB,BBB,BBB,BBB
Autodesk Inc.,ADSK,15.3,Tech,A,AA,AA,AA,AA
Global Payments Inc.,GPN,18.5,Tech,BB,BB,B,BB,BB
Analog Devices Inc.,ADI,25.5,Tech,BBB,A,BBB,BBB,BBB
NXP Semiconductors NV,NXPI,19.9,Tech,BB,BB,BB,BB,BBB
KLA Corporation,KLAC,19.5,Tech,BB,BB,BB,BB,BB
TE Connectivity Ltd.,TEL,16.1,Tech,AA,AA,AA,A,A
Cognizant Technology Solutions Corporation Class A,CTSH,17.5,Tech,A,A,A,BBB,A
HP Inc.,HPQ,10.2,Tech,AA,AA,AA,A,AA
Microchip Technology Incorporated,MCHP,31.5,Tech,BBB,BBB,BBB,BB,BB
Amphenol Corporation Class A,APH,23.8,Tech,BBB,BBB,BBB,BBB,BBB
Cadence Design Systems Inc.,CDNS,12.9,Tech,AA,AA,AA,AA,AA
Synopsys Inc.,SNPS,14.4,Tech,BB,BB,BB,BB,A
Corning Inc,GLW,20,Tech,AA,A,A,A,BBB
ANSYS Inc.,ANSS,14.9,Tech,BBB,BBB,A,A,AA
Motorola Solutions Inc.,MSI,14.4,Tech,AA,A,A,A,AA
Paychex Inc.,PAYX,15.9,Tech,BB,BBB,BBB,BBB,BBB
Xilinx Inc.,XLNX,18.8,Tech,BB,BB,BBB,BBB,BBB
Skyworks Solutions Inc.,SWKS,32.8,Tech,BBB,A,A,A,A
Fortinet Inc.,FTNT,19.5,Tech,A,A,A,BBB,BBB
Zebra Technologies Corporation Class A,ZBRA,12.9,Tech,BBB,A,A,A,AA
Keysight Technologies Inc,KEYS,9.3,Tech,AA,AA,AA,AA,AA
CDW Corp.,CDW,10.8,Tech,BB,B,B,BB,BBB
Maxim Integrated Products Inc.,MXIM,21.9,Tech,BB,BBB,A,A,A
FLEETCOR Technologies Inc.,FLT,18.5,Tech,BBB,BBB,BB,B,B
VeriSign Inc.,VRSN,22.2,Tech,B,BB,BB,BBB,BBB
Qorvo Inc.,QRVO,32.2,Tech,BB,BB,BB,BB,BBB
Western Digital Corporation,WDC,12.1,Tech,B,B,B,BB,BBB
Teradyne Inc.,TER,18.7,Tech,B,B,BB,BB,BB
Hewlett Packard Enterprise Co.,HPE,11.7,Tech,AA,AA,AAA,AA,AA
Trimble Inc.,TRMB,12.9,Tech,A,A,AA,AA,AA
Enphase Energy Inc.,ENPH,29.7,Tech,null,null,BB,BB,BB
Paycom Software Inc.,PAYC,19.3,Tech,BB,BBB,BBB,A,A
Broadridge Financial Solutions Inc.,BR,15,Tech,BBB,BBB,BBB,BBB,BBB
Tyler Technologies Inc.,TYL,19.8,Tech,B,BB,BB,BB,BBB
Akamai Technologies Inc.,AKAM,21.3,Tech,BBB,BBB,BBB,BBB,BBB
Arista Networks Inc.,ANET,17.6,Tech,BBB,BBB,BBB,BBB,BBB
Citrix Systems Inc.,CTXS,14.2,Tech,A,A,A,A,A
Gartner Inc.,IT,23.5,Tech,BBB,BB,BB,BB,BBB
NetApp Inc.,NTAP,16.4,Tech,BB,BB,BB,BB,BBB
Seagate Technology PLC,STX,10.7,Tech,BBB,BBB,BBB,BBB,A
Monolithic Power Systems Inc.,MPWR,21.1,Tech,B,B,B,B,B
PTC Inc.,PTC,19.6,Tech,BBB,BBB,A,A,A
F5 Networks Inc.,FFIV,19.1,Tech,BBB,BBB,BBB,BBB,A
NortonLifeLock Inc.,NLOK,17.1,Tech,A,BBB,A,A,A
Jack Henry & Associates Inc.,JKHY,16.3,Tech,BBB,A,BBB,BBB,BBB
Western Union Company,WU,16.4,Tech,BBB,A,A,A,A
Juniper Networks Inc.,JNPR,16,Tech,BBB,BBB,BBB,BBB,BBB
DXC Technology Co.,DXC,13.9,Tech,null,null,null,null,null
IPG Photonics Corporation,IPGP,12.2,Tech,BB,BB,B,B,B
FLIR Systems Inc.,FLIR,14.3,Tech,null,null,null,null,null
Activision Blizzard,ATVI,16.1,Communication Services,BB,BB,BB,BBB,BBB
Charter Communicatio,CHTR,20.5,Communication Services,B,B,B,B,B
Comcast Corp A,CMCSA,19.4,Communication Services,CCC,B,B,BB,BB
Walt Disney Company,DIS,16.3,Communication Services,BBB,BBB,BBB,BBB,A
Discovery Comm A,DISCA,17,Communication Services,BBB,BBB,BBB,BBB,BBB
Discovery Comm Inc,DISCK,14.2,Communication Services,BBB,BBB,BBB,BBB,BBB
Dish Network Corp,DISH,22.5,Communication Services,B,CCC,CCC,CCC,CCC
Electronic Arts Inc,EA,12.7,Communication Services,BB,BB,BBB,A,A
Facebook Inc,FB,24.8,Communication Services,BBB,BB,BBB,BBB,B
Fox Corp Cl A,FOXA,17,Communication Services,null,null,B,B,BB
Alphabet Cl A,GOOGL,22.3,Communication Services,A,A,AA,AA,BBB
Interpublic Group of Companies,IPG,15.5,Communication Services,BB,BB,BBB,BB,A
Centurylink,LUMN,25.8,Communication Services,BBB,BBB,BB,BB,BB
Live Nation Entertainment,LYV,15.4,Communication Services,BB,BB,BB,BB,BB
Netflix Inc,NFLX,17.4,Communication Services,BB,BB,B,B,BB
News Cp Cl A,NWSA,13.4,Communication Services,CCC,CCC,CCC,CCC,CCC
Omnicom Group Inc,OMC,18.5,Communication Services,B,BB,BBB,BBB,BBB
AT&T Inc,T,19.1,Communication Services,BB,BBB,BB,BB,BB
T-Mobile US,TMUS,26.7,Communication Services,BB,B,B,BB,BB
Take-Two Interacti,TTWO,17.3,Communication Services,BBB,BBB,BBB,BBB,BBB
Twitter Inc,TWTR,24.9,Communication Services,B,B,BB,BB,BB
Viacom CBS Cl B,VIAC,16.1,Communication Services,B,B,B,BB,BBB
Verizon Communications Inc,VZ,18.1,Communication Services,BB,BBB,BB,BBB,BBB
